級別,單字,屬性,輸出,中文
1,a/an,art.,a/an (art.),一個/一個
1,ability,n.,ability (n.),能力
1,able,adj.,able (adj.),有能力的
1,about,prep./adv.,about (prep./adv.),關於
1,above,prep./adv./adj.,above (prep./adv./adj.),多於
1,abroad,adv.,abroad (adv.),國外
1,across,prep./adv.,across (prep./adv.),穿過
1,act,n./v.,act (n./v.),行為
1,action,n.,action (n.),行動
1,actor/actress,n.,actor/actress (n.),男演員/女演員
1,add,v.,add (v.),添加
1,afraid,adj.,afraid (adj.),害怕的
1,after,prep./conj./adv.,after (prep./conj./adv.),後
1,afternoon,n.,afternoon (n.),午安
1,again,adv.,again (adv.),再次
1,age,n./v.,age (n./v.),年齡
1,ago,adv.,ago (adv.),前
1,agree,v.,agree (v.),同意
1,air,n.,air (n.),空氣
1,airplane/plane,n.,airplane/plane (n.),飛機/飛機
1,airport,n.,airport (n.),飛機場
1,all,adj./adv./pron./n.,all (adj./adv./pron./n.),全部
1,allow,v.,allow (v.),允許
1,almost,adv.,almost (adv.),幾乎
1,along,prep./adv.,along (prep./adv.),沿著
1,already,adv.,already (adv.),已經
1,also,adv.,also (adv.),也
1,although,conj.,although (conj.),雖然
1,always,adv.,always (adv.),總是
1,am/a.m.,adv.,am/a.m. (adv.),上午/上午
1,and,conj.,and (conj.),和
1,angry,adj.,angry (adj.),生氣的
1,animal,n.,animal (n.),動物
1,another,adj./pron.,another (adj./pron.),其他
1,answer,n./v.,answer (n./v.),回答
1,ant,n.,ant (n.),螞蟻
1,any,pron./adj./adv.,any (pron./adj./adv.),任何
1,anybody/anyone,pron.,anybody/anyone (pron.),任何人/任何人
1,anything,pron.,anything (pron.),任何事物
1,apartment,n.,apartment (n.),公寓
1,appear,v.,appear (v.),出現
1,apple,n.,apple (n.),蘋果
1,area,n.,area (n.),區域
1,arm,n./v.,arm (n./v.),手臂
1,around,prep./adv.,around (prep./adv.),大約
1,arrive,v.,arrive (v.),到達
1,art,n.,art (n.),藝術
1,as,conj./adv./prep.,as (conj./adv./prep.),作為
1,ask,v.,ask (v.),問
1,at,prep.,at (prep.),在
1,attack,n./v.,attack (n./v.),攻擊
1,aunt,n.,aunt (n.),阿姨
1,away,adv.,away (adv.),離開
1,baby,n.,baby (n.),嬰兒
1,back,adv./n./v./adj.,back (adv./n./v./adj.),後退
1,bad,adj.,bad (adj.),壞的
1,bag,n.,bag (n.),包包
1,ball,n./v.,ball (n./v.),球
1,banana,n.,banana (n.),香蕉
1,band,n.,band (n.),樂團
1,bank,n./v.,bank (n./v.),銀行
1,baseball,n.,baseball (n.),棒球
1,basket,n.,basket (n.),籃子
1,basketball,n.,basketball (n.),籃球
1,bat,n./v.,bat (n./v.),蝙蝠
1,bath,n.,bath (n.),洗澡
1,bathroom,n.,bathroom (n.),浴室
1,be,v./aux.,be (v./aux.),是
1,beach,n./v.,beach (n./v.),海灘
1,bean,n.,bean (n.),豆
1,bear,v./n.,bear (v./n.),熊
1,beautiful,adj.,beautiful (adj.),美麗的
1,because,conj.,because (conj.),因為
1,become,v.,become (v.),變得
1,bed,n.,bed (n.),床
1,bedroom,n.,bedroom (n.),臥室
1,bee,n.,bee (n.),蜜蜂
1,beef,n.,beef (n.),牛肉
1,before,prep./conj./adv.,before (prep./conj./adv.),前
1,begin,v.,begin (v.),開始
1,behind,prep./adv.,behind (prep./adv.),在後面
1,believe,v.,believe (v.),相信
1,bell,n.,bell (n.),鐘
1,belong,v.,belong (v.),屬於
1,below,adv./prep.,below (adv./prep.),以下
1,belt,n./v.,belt (n./v.),腰帶
1,bench,n.,bench (n.),長椅
1,beside,prep.,beside (prep.),旁
1,best,adj./adv./v./n.,best (adj./adv./v./n.),最好的
1,between,prep./adv.,between (prep./adv.),之間
1,bicycle/bike,n.,bicycle/bike (n.),自行車/自行車
